Data,Ultimo
2020.12.31,4.707
2020.12.24,5.178
2020.12.18,5.089
2020.12.11,5.096
2020.12.04,5.212
2020.11.27,5.363
2020.11.20,5.358
2020.11.13,5.421
2020.11.06,5.61
2020.10.30,5.719
2020.10.23,5.605
2020.10.16,5.603
2020.10.09,5.581
2020.10.02,5.647
2020.09.25,5.509
2020.09.18,5.282
2020.09.11,5.327
2020.09.04,5.364
2020.08.28,5.536
2020.08.21,5.541
2020.08.14,5.416
2020.08.07,5.334
2020.07.31,5.168
2020.07.24,5.212
2020.07.17,5.371
2020.07.10,5.348
2020.07.03,5.372
2020.06.26,5.318
2020.06.19,5.263
2020.06.12,4.944
2020.06.05,5.14
2020.05.29,5.361
2020.05.22,5.65
2020.05.15,5.851
2020.05.08,5.679
2020.05.01,5.491
2020.04.24,5.443
2020.04.17,5.213
2020.04.10,5.168
2020.04.03,5.25
2020.03.27,5.079
2020.03.20,5.054
2020.03.13,4.765
2020.03.06,4.561
2020.02.28,4.437
2020.02.21,4.366
2020.02.14,4.331
2020.02.07,4.267
2020.01.31,4.231
2020.01.24,4.187
2020.01.17,4.16
2020.01.10,4.076
2019.12.31,3.863
2019.12.27,4.07
2019.12.20,4.073
2019.12.13,4.122
2019.12.06,4.192
2019.11.29,4.229
2019.11.22,4.199
2019.11.15,4.175
2019.11.08,4.071
2019.11.01,3.996
2019.10.25,4.057
2019.10.18,4.146
2019.10.11,4.105
2019.10.04,4.115
2019.09.27,4.161
2019.09.20,4.116
2019.09.13,4.077
2019.09.06,4.123
2019.08.30,4.153
2019.08.23,4.068
2019.08.16,3.999
2019.08.09,3.953
2019.08.02,3.822
2019.07.26,3.768
2019.07.19,3.75
2019.07.12,3.77
2019.07.05,3.826
2019.06.28,3.837
2019.06.21,3.848
2019.06.14,3.871
2019.06.07,3.875
2019.05.31,3.988
2019.05.24,4.047
2019.05.17,4.022
2019.05.10,3.953
2019.05.03,3.937
2019.04.26,3.945
2019.04.19,3.912
2019.04.12,3.852
2019.04.05,3.861
2019.03.29,3.91
2019.03.22,3.811
2019.03.15,3.825
2019.03.08,3.825
2019.03.01,3.751
2019.02.22,3.74
2019.02.15,3.729
2019.02.08,3.696
2019.02.01,3.694
2019.01.25,3.776
2019.01.18,3.731
2019.01.11,3.71
2018.12.31,3.358
2018.12.28,3.896
2018.12.21,3.891
2018.12.14,3.897
2018.12.07,3.87
2018.11.30,3.877
2018.11.23,3.788
2018.11.16,3.776
2018.11.09,3.742
2018.11.02,3.707
2018.10.26,3.692
2018.10.19,3.716
2018.10.12,3.762
2018.10.05,3.915
2018.09.28,4.052
2018.09.21,4.11
2018.09.14,4.156
2018.09.07,4.116
2018.08.31,4.104
2018.08.24,4.055
2018.08.17,3.895
2018.08.10,3.784
2018.08.03,3.739
2018.07.27,3.735
2018.07.20,3.829
2018.07.13,3.859
2018.07.06,3.903
2018.06.29,3.836
2018.06.22,3.764
2018.06.15,3.736
2018.06.08,3.803
2018.06.01,3.734
2018.05.25,3.65
2018.05.18,3.677
2018.05.11,3.571
2018.05.04,3.525
2018.04.27,3.468
2018.04.20,3.401
2018.04.13,3.407
2018.04.06,3.339
2018.03.30,3.314
2018.03.23,3.299
2018.03.16,3.27
2018.03.09,3.244
2018.03.02,3.245
2018.02.23,3.249
2018.02.16,3.253
2018.02.09,3.269
2018.02.02,3.181
2018.01.26,3.177
2018.01.19,3.213
2018.01.12,3.227
2017.12.29,3.317
2017.12.22,3.305
2017.12.15,3.311
2017.12.08,3.26
2017.12.01,3.243
2017.11.24,3.239
2017.11.17,3.287
2017.11.10,3.261
2017.11.03,3.282
2017.10.27,3.248
