Ultimo;DIF I;DIF II;Date
0,9375;;;04/07/1994
0,9275;0,0100;;05/07/1994
0,9125;0,0150;-0,0050;06/07/1994
0,909;0,0035;0,0115;07/07/1994
0,9175;-0,0085;0,0120;08/07/1994
0,919166667;-0,0017;-0,0068;09/07/1994
0,920833333;-0,0017;0,0000;10/07/1994
0,9225;-0,0017;0,0000;11/07/1994
0,9175;0,0050;-0,0067;12/07/1994
0,9185;-0,0010;0,0060;13/07/1994
0,923;-0,0045;0,0035;14/07/1994
0,931;-0,0080;0,0035;15/07/1994
0,9315;-0,0005;-0,0075;16/07/1994
0,932;-0,0005;0,0000;17/07/1994
0,9325;-0,0005;0,0000;18/07/1994
0,9325;0,0000;-0,0005;19/07/1994
0,9275;0,0050;-0,0050;20/07/1994
0,932;-0,0045;0,0095;21/07/1994
0,9355;-0,0035;-0,0010;22/07/1994
0,934666667;0,0008;-0,0043;23/07/1994
0,933833333;0,0008;0,0000;24/07/1994
0,933;0,0008;0,0000;25/07/1994
0,933;0,0000;0,0008;26/07/1994
0,936;-0,0030;0,0030;27/07/1994
0,939;-0,0030;0,0000;28/07/1994
0,9365;0,0025;-0,0055;29/07/1994
0,933333333;0,0032;-0,0007;30/07/1994
0,930166667;0,0032;0,0000;31/07/1994
0,927;0,0032;0,0000;01/08/1994
0,917;0,0100;-0,0068;02/08/1994
0,91;0,0070;0,0030;03/08/1994
0,91;0,0000;0,0070;04/08/1994
0,911;-0,0010;0,0010;05/08/1994
0,907;0,0040;-0,0050;06/08/1994
0,903;0,0040;0,0000;07/08/1994
0,899;0,0040;0,0000;08/08/1994
0,894;0,0050;-0,0010;09/08/1994
0,898;-0,0040;0,0090;10/08/1994
0,898;0,0000;-0,0040;11/08/1994
0,903;-0,0050;0,0050;12/08/1994
0,900333333;0,0027;-0,0077;13/08/1994
0,897666667;0,0027;0,0000;14/08/1994
0,895;0,0027;0,0000;15/08/1994
0,896;-0,0010;0,0037;16/08/1994
0,898;-0,0020;0,0010;17/08/1994
0,895;0,0030;-0,0050;18/08/1994
0,892;0,0030;0,0000;19/08/1994
0,889333333;0,0027;0,0003;20/08/1994
0,886666667;0,0027;0,0000;21/08/1994
0,884;0,0027;0,0000;22/08/1994
0,885;-0,0010;0,0037;23/08/1994
0,886;-0,0010;0,0000;24/08/1994
0,887;-0,0010;0,0000;25/08/1994
0,893;-0,0060;0,0050;26/08/1994
